userid,introduction
lorenzonical,boss of unisats and fractal bitcoin 
lilyanna_btc,researcher of btc ecosystem
peter3050,researcher of btc ecosystem and AI
rodarmor,founder of ordinals protocol
atomicalsxyz,Atomicals Protocol 
domodata,BRC20 Creator
ohxiyu,"OG, Supportor of Rune/Dogs"
